"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","163","Success","Trustcrow","Fri Nov 08 00:14:51 GMT 2024","passed","Fri Nov 08 00:14:51 GMT 2024","","Retrieve Single Invoice","",""
"","420","Success","Trustcrow","Fri Nov 08 00:14:48 GMT 2024","passed","Fri Nov 08 00:14:49 GMT 2024","","Login","",""
"","142","Invalid Auth","Trustcrow","Fri Nov 08 00:14:51 GMT 2024","passed","Fri Nov 08 00:14:52 GMT 2024","","Retrieve Single Invoice","",""
"","289","Success","Trustcrow","Fri Nov 08 00:14:50 GMT 2024","passed","Fri Nov 08 00:14:51 GMT 2024","","Retrieve All Invoices","",""
"","144","Existing email","Trustcrow","Fri Nov 08 00:14:48 GMT 2024","passed","Fri Nov 08 00:14:48 GMT 2024","","Register","",""
"","150","Empty Password","Trustcrow","Fri Nov 08 00:14:48 GMT 2024","passed","Fri Nov 08 00:14:48 GMT 2024","","Register","",""
"","156","Empty password","Trustcrow","Fri Nov 08 00:14:49 GMT 2024","passed","Fri Nov 08 00:14:49 GMT 2024","","Login","",""
"","293","Empty email","Trustcrow","Fri Nov 08 00:14:49 GMT 2024","passed","Fri Nov 08 00:14:49 GMT 2024","","Login","",""
"","144","Invalid userId","Trustcrow","Fri Nov 08 00:14:50 GMT 2024","failed","Fri Nov 08 00:14:50 GMT 2024","","Create Invoice","",""
"","147","No Auth","Trustcrow","Fri Nov 08 00:14:52 GMT 2024","passed","Fri Nov 08 00:14:52 GMT 2024","","Retrieve Single Invoice","",""
"","141","Invalid Auth","Trustcrow","Fri Nov 08 00:14:50 GMT 2024","passed","Fri Nov 08 00:14:50 GMT 2024","","Create Invoice","",""
"","170","Success","Trustcrow","Fri Nov 08 00:14:50 GMT 2024","failed","Fri Nov 08 00:14:50 GMT 2024","","Create Invoice","",""
"","151","Wrong email","Trustcrow","Fri Nov 08 00:14:49 GMT 2024","failed","Fri Nov 08 00:14:49 GMT 2024","","Login","",""
"","151","Empty Email","Trustcrow","Fri Nov 08 00:14:48 GMT 2024","passed","Fri Nov 08 00:14:48 GMT 2024","","Register","",""
"","153","No Auth","Trustcrow","Fri Nov 08 00:14:50 GMT 2024","passed","Fri Nov 08 00:14:50 GMT 2024","","Create Invoice","",""
"","384","Wrong Password","Trustcrow","Fri Nov 08 00:14:49 GMT 2024","failed","Fri Nov 08 00:14:50 GMT 2024","","Login","",""
"","343","No Auth","Trustcrow","Fri Nov 08 00:14:51 GMT 2024","passed","Fri Nov 08 00:14:51 GMT 2024","","Retrieve All Invoices","",""
"","121","Invalid Auth","Trustcrow","Fri Nov 08 00:14:51 GMT 2024","passed","Fri Nov 08 00:14:51 GMT 2024","","Retrieve All Invoices","",""
"","139","Invalid Endpoint","Trustcrow","Fri Nov 08 00:14:48 GMT 2024","passed","Fri Nov 08 00:14:48 GMT 2024","","Register","",""
"","634","Success","Trustcrow","Fri Nov 08 00:14:47 GMT 2024","passed","Fri Nov 08 00:14:48 GMT 2024","","Register","",""
"","158","Empty Name","Trustcrow","Fri Nov 08 00:14:48 GMT 2024","passed","Fri Nov 08 00:14:48 GMT 2024","","Register","",""
"","303","Invalid endpoint","Trustcrow","Fri Nov 08 00:14:52 GMT 2024","passed","Fri Nov 08 00:14:52 GMT 2024","","Invalid Endpoint","",""
